## [iView]
## Converted from:	D:\MatlabFiles\Eyetracking&Matlab\SampleScript\Data\Pilot_CvS_23.idf
## Date:	23.02.2011 12:33:28
## Version:	IDF Converter 3.0.9
## Sample Rate:	1250
## [Run]
## Subject:	test                                                                                                                                                                                                                                                            
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	23258                                                                                                                                                                                                                                                           
## Reversed:	none
## Format:	RIGHT, RAW, DIAMETER, CR, POR, QUALITY, MSG
## 
Time	Type	Trial	R Raw X [px]	R Raw Y [px]	R Dia X [px]	R Dia Y [px]	R CR1 X [px]	R CR1 Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency
533617295518	SMP	1	141.10	60.75	30.00	29.00	145.25	62.02	852.99	620.40	0	1033
533617296317	SMP	2	141.07	60.80	30.00	30.00	145.26	62.00	852.63	620.73	0	1023
533617297117	SMP	2	141.13	60.77	30.00	30.00	145.26	61.99	853.39	620.33	0	1049
533617297539	MSG	2	# Message: IncrementTrial
533617297919	SMP	2	141.07	60.78	30.00	31.00	145.27	62.00	852.47	620.07	0	1010
533617298717	SMP	2	141.05	60.80	30.00	31.00	145.26	61.99	851.61	620.67	0	1044
533617299517	SMP	2	141.14	60.77	30.00	29.00	145.24	62.01	853.35	620.15	0	1003
533617300318	SMP	2	141.08	60.72	31.00	31.00	145.23	62.04	853.26	618.22	0	1027
533617301117	SMP	2	141.14	60.77	30.00	29.00	145.27	62.02	853.99	618.15	0	1007
533617301917	SMP	2	141.04	60.78	31.00	30.00	145.26	62.00	852.67	618.69	0	1020
533617302716	SMP	2	141.07	60.75	30.00	30.00	145.28	62.04	851.33	618.01	0	998
533617303518	SMP	2	141.09	60.82	30.00	30.00	145.27	62.04	851.30	618.96	0	1020
533617304317	SMP	2	141.09	60.75	30.00	29.00	145.30	62.06	850.87	617.62	0	1047
533617305121	SMP	2	141.08	60.79	30.00	30.00	145.26	62.09	851.33	616.87	0	1047
533617305919	SMP	2	141.15	60.88	30.00	29.00	145.29	62.05	852.52	619.17	0	1034
533617306720	SMP	2	141.10	60.84	30.00	30.00	145.32	62.09	851.59	618.78	0	1044
533617307519	SMP	2	141.11	60.90	31.00	30.00	145.31	62.10	851.47	620.25	0	1033
533617308320	SMP	2	141.17	60.82	30.00	30.00	145.30	62.10	852.55	619.29	0	1044
533617309119	SMP	2	141.20	60.82	30.00	30.00	145.29	62.07	854.15	618.78	0	1036
533617309920	SMP	2	141.15	60.85	30.00	30.00	145.30	62.10	854.38	618.61	0	1048
533617310719	SMP	2	141.11	60.83	30.00	30.00	145.32	62.10	852.84	618.22	0	1035
533617311520	SMP	2	141.11	60.82	31.00	30.00	145.31	62.10	851.76	617.82	0	1046
533617312319	SMP	2	141.06	60.91	31.00	30.00	145.31	62.13	850.17	618.50	0	985
533617313116	SMP	2	141.12	60.86	30.00	30.00	145.30	62.11	850.38	618.62	0	1033
533617313937	SMP	2	141.04	60.95	30.00	30.00	145.32	62.13	849.05	620.14	0	1033
533617314720	SMP	2	141.19	60.85	30.00	30.00	145.31	62.13	851.79	619.14	0	1045
533617315520	SMP	2	141.05	60.89	30.00	30.00	145.32	62.15	849.35	618.76	0	1032
533617316320	SMP	2	141.14	60.94	30.00	31.00	145.34	62.14	850.16	619.60	0	1045
533617317119	SMP	2	141.07	60.91	30.00	30.00	145.34	62.16	849.03	619.06	0	1034
533617317920	SMP	2	141.13	60.94	30.00	30.00	145.34	62.17	849.30	619.44	0	1046
533617318719	SMP	2	141.14	60.95	30.00	30.00	145.36	62.19	849.86	619.50	0	1037
533617319520	SMP	2	141.16	60.96	30.00	30.00	145.37	62.20	850.02	619.27	0	1042
533617320319	SMP	2	141.16	60.95	30.00	30.00	145.38	62.20	850.19	619.14	0	1034
533617321120	SMP	2	141.21	60.88	31.00	30.00	145.38	62.24	850.81	616.44	0	1023
533617321917	SMP	2	141.18	60.94	31.00	30.00	145.41	62.25	850.31	615.83	0	1039
533617322724	SMP	2	141.20	60.92	30.00	30.00	145.38	62.29	850.82	614.04	0	1043
533617323519	SMP	2	141.18	60.99	30.00	30.00	145.41	62.31	850.38	614.06	0	1033
533617324320	SMP	2	141.20	61.04	31.00	31.00	145.40	62.30	850.50	615.79	0	1014
533617325117	SMP	2	141.15	60.96	30.00	30.00	145.40	62.34	849.75	614.59	0	1019
533617325917	SMP	2	141.13	61.01	30.00	30.00	145.42	62.29	848.31	615.82	0	1036
533617326717	SMP	2	141.15	61.02	31.00	31.00	145.41	62.32	847.96	615.96	0	1001
533617327517	SMP	2	141.22	60.96	30.00	31.00	145.40	62.32	849.29	614.72	0	1006
533617328316	SMP	2	141.13	61.00	30.00	30.00	145.41	62.31	848.48	615.18	0	1000
533617329118	SMP	2	141.19	61.06	30.00	30.00	145.41	62.33	849.16	615.91	0	1015
533617329915	SMP	2	141.19	61.06	30.00	30.00	145.41	62.35	849.42	616.46	0	1004
533617330716	SMP	2	141.21	60.94	31.00	29.00	145.42	62.33	849.75	614.72	0	1017
533617331519	SMP	2	141.18	61.00	31.00	30.00	145.41	62.35	849.73	614.21	0	1000
533617332317	SMP	2	141.23	61.05	31.00	30.00	145.42	62.34	850.27	614.84	0	1012
533617333115	SMP	2	141.24	61.01	31.00	30.00	145.44	62.38	850.56	614.06	0	1004
533617333917	SMP	2	141.21	61.00	30.00	29.00	145.44	62.38	850.18	613.46	0	1041
533617334718	SMP	2	141.17	61.07	31.00	30.00	145.46	62.39	848.51	613.88	0	1028
533617335518	SMP	2	141.28	60.96	31.00	30.00	145.45	62.38	849.95	612.18	0	1032
533617336316	SMP	2	141.24	61.04	30.00	30.00	145.45	62.40	849.86	612.56	0	1003
533617337117	SMP	2	141.20	61.05	31.00	30.00	145.46	62.44	849.06	612.19	0	1011
533617337916	SMP	2	141.31	61.04	29.00	30.00	145.46	62.44	850.73	611.59	0	1010
533617338717	SMP	2	141.31	61.07	31.00	30.00	145.45	62.41	851.86	612.46	0	1021
533617339518	SMP	2	141.28	61.13	30.00	30.00	145.45	62.44	852.27	613.77	0	1004
533617340316	SMP	2	141.29	61.06	31.00	30.00	145.48	62.43	852.11	613.65	0	1014
533617341116	SMP	2	141.32	61.05	31.00	30.00	145.47	62.43	852.46	613.33	0	993
533617341917	SMP	2	141.34	61.07	31.00	30.00	145.48	62.40	852.91	613.48	0	1008
533617342715	SMP	2	141.32	61.09	32.00	30.00	145.49	62.42	852.94	613.72	0	996
533617343516	SMP	2	141.35	61.02	31.00	30.00	145.47	62.42	853.69	612.88	0	1005
533617344315	SMP	2	141.35	61.08	31.00	30.00	145.47	62.41	854.16	613.51	0	997
533617345116	SMP	2	141.35	61.09	31.00	30.00	145.47	62.40	854.47	614.22	0	1013
533617345916	SMP	2	141.31	61.13	31.00	30.00	145.49	62.38	853.74	615.99	0	998
533617346717	SMP	2	141.34	61.04	30.00	30.00	145.48	62.44	853.55	614.48	0	1005
533617347515	SMP	2	141.33	61.00	31.00	30.00	145.49	62.39	853.11	613.12	0	998
